event_time,event_name,user_id,session_id,news_id,term,source,surface,message,payload_json
2025-10-22T04:29:58.788643+00:00,news_detail_open,user_cea7d5c3,sess_09944726fbf3,1,,,detail,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-22T04:30:02.958245+00:00,session_start,user_cea7d5c3,sess_c6b5c843e7b4,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T04:30:02.959451+00:00,glossary_click,user_cea7d5c3,sess_c6b5c843e7b4,1,양적완화,news_highlight,detail,,"{""via"": ""query_param""}"
2025-10-22T04:30:02.960447+00:00,glossary_answer,user_cea7d5c3,sess_c6b5c843e7b4,1,양적완화,news_highlight,detail,,"{""answer_len"": 178}"
2025-10-22T04:30:02.964978+00:00,news_detail_open,user_cea7d5c3,sess_c6b5c843e7b4,1,,,detail,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-22T04:30:06.769519+00:00,glossary_click,user_cea7d5c3,sess_c6b5c843e7b4,1,기준금리,news_highlight,detail,,"{""click_count"": 1}"
2025-10-22T04:30:06.770492+00:00,glossary_answer,user_cea7d5c3,sess_c6b5c843e7b4,1,기준금리,news_highlight,detail,,"{""answer_len"": 177}"
2025-10-22T04:30:10.780107+00:00,session_start,user_cea7d5c3,sess_2dc2ca5d2e78,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T04:30:10.781615+00:00,glossary_click,user_cea7d5c3,sess_2dc2ca5d2e78,1,양적완화,news_highlight,detail,,"{""via"": ""query_param""}"
2025-10-22T04:30:10.782635+00:00,glossary_answer,user_cea7d5c3,sess_2dc2ca5d2e78,1,양적완화,news_highlight,detail,,"{""answer_len"": 178}"
2025-10-22T04:30:10.786721+00:00,news_detail_open,user_cea7d5c3,sess_2dc2ca5d2e78,1,,,detail,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-22T04:31:19.402333+00:00,session_start,user_1f4f61d4,sess_fbc1d2690604,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T04:31:20.433861+00:00,news_click,user_1f4f61d4,sess_fbc1d2690604,2,,list,home,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
2025-10-22T04:31:20.537998+00:00,news_detail_open,user_1f4f61d4,sess_fbc1d2690604,2,,,detail,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
2025-10-22T04:31:21.996409+00:00,session_start,user_cea7d5c3,sess_27d705afd78c,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T04:31:21.997911+00:00,glossary_click,user_cea7d5c3,sess_27d705afd78c,2,PER,news_highlight,detail,,"{""via"": ""query_param""}"
2025-10-22T04:31:21.997911+00:00,glossary_answer,user_cea7d5c3,sess_27d705afd78c,2,PER,news_highlight,detail,,"{""answer_len"": 177}"
2025-10-22T04:31:22.003054+00:00,news_detail_open,user_cea7d5c3,sess_27d705afd78c,2,,,detail,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
2025-10-22T07:53:03.224615+00:00,session_start,user_cea7d5c3,sess_d818de4602fe,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T07:53:15.278924+00:00,news_click,user_cea7d5c3,sess_d818de4602fe,3,,list,home,,"{""title"": ""원달러 환율, 1,300원 돌파""}"
2025-10-22T07:53:15.337898+00:00,news_detail_open,user_cea7d5c3,sess_d818de4602fe,3,,,detail,,"{""title"": ""원달러 환율, 1,300원 돌파""}"
2025-10-22T07:53:17.814201+00:00,glossary_click,user_cea7d5c3,sess_d818de4602fe,3,환율,news_highlight,detail,,"{""click_count"": 1}"
2025-10-22T07:53:17.815233+00:00,glossary_answer,user_cea7d5c3,sess_d818de4602fe,,환율,news_highlight,detail,,"{""answer_len"": 175}"
2025-10-22T07:53:25.929740+00:00,chat_question,user_cea7d5c3,sess_d818de4602fe,,,chat,sidebar,체크,{}
2025-10-22T07:53:25.929740+00:00,chat_response,user_cea7d5c3,sess_d818de4602fe,,,chat,sidebar,,"{""answer_len"": 120, ""latency_ms"": 0}"
2025-10-22T07:53:25.938679+00:00,chat_response,user_cea7d5c3,sess_d818de4602fe,,,chat,sidebar,,"{""answer_len"": 120}"
2025-10-22T08:00:55.254685+00:00,session_start,user_cea7d5c3,sess_2fb3dd449185,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T08:00:59.853562+00:00,news_click,user_cea7d5c3,sess_2fb3dd449185,2,,list,home,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
2025-10-22T08:00:59.950160+00:00,news_detail_open,user_cea7d5c3,sess_2fb3dd449185,2,,,detail,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
2025-10-22T08:01:04.202339+00:00,news_detail_back,user_cea7d5c3,sess_2fb3dd449185,2,,,detail,,{}
2025-10-22T08:01:05.233616+00:00,news_click,user_cea7d5c3,sess_2fb3dd449185,3,,list,home,,"{""title"": ""원달러 환율, 1,300원 돌파""}"
2025-10-22T08:01:05.300249+00:00,news_detail_open,user_cea7d5c3,sess_2fb3dd449185,3,,,detail,,"{""title"": ""원달러 환율, 1,300원 돌파""}"
2025-10-22T08:01:06.655460+00:00,news_detail_back,user_cea7d5c3,sess_2fb3dd449185,3,,,detail,,{}
2025-10-22T08:23:09.467322+00:00,session_start,user_cea7d5c3,sess_15df213bb8c5,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T08:23:15.671894+00:00,news_click,user_cea7d5c3,sess_15df213bb8c5,2,,list,home,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
2025-10-22T08:23:15.772777+00:00,news_detail_open,user_cea7d5c3,sess_15df213bb8c5,2,,,detail,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
2025-10-22T08:23:20.219655+00:00,glossary_click,user_cea7d5c3,sess_15df213bb8c5,2,PER,news_highlight,detail,,"{""click_count"": 1}"
2025-10-22T08:23:20.230229+00:00,glossary_answer,user_cea7d5c3,sess_15df213bb8c5,,PER,news_highlight,detail,,"{""answer_len"": 212}"
2025-10-22T08:39:35.877222+00:00,session_start,user_cea7d5c3,sess_25395dbfea50,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T08:41:55.293089+00:00,session_start,user_cea7d5c3,sess_5a2ffc5bd6e7,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T08:41:56.465452+00:00,news_click,user_cea7d5c3,sess_5a2ffc5bd6e7,2,,list,home,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
2025-10-22T08:41:56.552335+00:00,news_detail_open,user_cea7d5c3,sess_5a2ffc5bd6e7,2,,,detail,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
2025-10-22T08:41:58.783861+00:00,news_detail_back,user_cea7d5c3,sess_5a2ffc5bd6e7,2,,,detail,,{}
2025-10-22T08:41:59.688334+00:00,news_click,user_cea7d5c3,sess_5a2ffc5bd6e7,2,,list,home,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
2025-10-22T08:41:59.771674+00:00,news_detail_open,user_cea7d5c3,sess_5a2ffc5bd6e7,2,,,detail,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
2025-10-22T08:42:00.703972+00:00,news_detail_back,user_cea7d5c3,sess_5a2ffc5bd6e7,2,,,detail,,{}
2025-10-22T09:05:18.843462+00:00,session_start,user_cea7d5c3,sess_610e2061d4fc,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T09:06:59.646476+00:00,session_start,user_cea7d5c3,sess_6e7461c87122,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T09:08:08.369997+00:00,session_start,user_cea7d5c3,sess_308ebb5f3e13,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T09:10:28.001411+00:00,session_start,user_cea7d5c3,sess_f5bcef4afb13,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T09:10:32.426368+00:00,news_click,user_cea7d5c3,sess_f5bcef4afb13,1,,list,home,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-22T09:10:32.476430+00:00,news_detail_open,user_cea7d5c3,sess_f5bcef4afb13,1,,,detail,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-22T09:10:37.546541+00:00,glossary_click,user_cea7d5c3,sess_f5bcef4afb13,1,기준금리,news_highlight,detail,,"{""click_count"": 1}"
2025-10-22T09:10:37.546541+00:00,glossary_answer,user_cea7d5c3,sess_f5bcef4afb13,,기준금리,news_highlight,detail,,"{""answer_len"": 208}"
2025-10-22T09:11:21.861351+00:00,session_start,user_cea7d5c3,sess_6f6636041d8f,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T01:16:12.438009+00:00,session_start,user_cea7d5c3,sess_89078d88fa6f,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T01:16:21.019516+00:00,chat_question,user_cea7d5c3,sess_89078d88fa6f,,,chat,sidebar,환율이 뭐야,{}
2025-10-23T01:16:21.019516+00:00,glossary_answer,user_cea7d5c3,sess_89078d88fa6f,,환율,chat,sidebar,,"{""answer_len"": 175}"
2025-10-23T01:16:21.019516+00:00,chat_response,user_cea7d5c3,sess_89078d88fa6f,,,chat,sidebar,,"{""answer_len"": 175, ""latency_ms"": 5}"
2025-10-23T01:47:15.497629+00:00,session_start,user_cea7d5c3,sess_51f67763747e,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T02:01:16.412031+00:00,session_start,user_cea7d5c3,sess_b184672d8a4e,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T02:10:02.794162+00:00,session_start,user_cea7d5c3,sess_ea0a21b65301,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T02:10:25.706618+00:00,news_click,user_cea7d5c3,sess_ea0a21b65301,1,,list,home,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-23T02:10:25.771755+00:00,news_detail_open,user_cea7d5c3,sess_ea0a21b65301,1,,,detail,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-23T02:10:36.991485+00:00,news_detail_back,user_cea7d5c3,sess_ea0a21b65301,1,,,detail,,{}
2025-10-23T02:10:38.197995+00:00,news_click,user_cea7d5c3,sess_ea0a21b65301,2,,list,home,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
2025-10-23T02:10:38.248825+00:00,news_detail_open,user_cea7d5c3,sess_ea0a21b65301,2,,,detail,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
2025-10-23T02:10:43.947341+00:00,glossary_click,user_cea7d5c3,sess_ea0a21b65301,2,PER,news_highlight,detail,,"{""click_count"": 1}"
2025-10-23T02:10:43.947341+00:00,glossary_answer,user_cea7d5c3,sess_ea0a21b65301,,PER,news_highlight,detail,,"{""answer_len"": 212}"
2025-10-23T02:11:42.804100+00:00,chat_question,user_cea7d5c3,sess_ea0a21b65301,,,chat,sidebar,연결,{}
2025-10-23T02:11:42.806107+00:00,chat_response,user_cea7d5c3,sess_ea0a21b65301,,,chat,sidebar,,"{""answer_len"": 97, ""latency_ms"": 0}"
2025-10-23T02:11:54.222626+00:00,session_start,user_cea7d5c3,sess_01ccca17cbe4,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T02:11:59.332454+00:00,chat_question,user_cea7d5c3,sess_01ccca17cbe4,,,chat,sidebar,안녕,{}
2025-10-23T02:11:59.333462+00:00,chat_response,user_cea7d5c3,sess_01ccca17cbe4,,,chat,sidebar,,"{""answer_len"": 97, ""latency_ms"": 1}"
2025-10-23T02:12:16.820329+00:00,session_start,user_cea7d5c3,sess_94d3ab3c610d,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T02:12:22.433255+00:00,chat_question,user_cea7d5c3,sess_94d3ab3c610d,,,chat,sidebar,안녕,{}
2025-10-23T02:12:22.433255+00:00,chat_response,user_cea7d5c3,sess_94d3ab3c610d,,,chat,sidebar,,"{""answer_len"": 89, ""latency_ms"": 0}"
2025-10-23T02:14:42.329598+00:00,session_start,user_cea7d5c3,sess_d2f24db808af,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T02:14:45.511064+00:00,chat_question,user_cea7d5c3,sess_d2f24db808af,,,chat,sidebar,안녕,{}
2025-10-23T02:14:46.465902+00:00,chat_response,user_cea7d5c3,sess_d2f24db808af,,,chat,sidebar,,"{""answer_len"": 112, ""latency_ms"": 955}"
2025-10-23T02:14:54.212466+00:00,chat_question,user_cea7d5c3,sess_d2f24db808af,,,chat,sidebar,반가워,{}
2025-10-23T02:14:54.213481+00:00,chat_response,user_cea7d5c3,sess_d2f24db808af,,,chat,sidebar,,"{""answer_len"": 112, ""latency_ms"": 1}"
2025-10-23T02:20:33.885782+00:00,session_start,user_cea7d5c3,sess_cb7b7db64d53,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T02:20:40.441133+00:00,chat_question,user_cea7d5c3,sess_cb7b7db64d53,,,chat,sidebar,안녕,{}
2025-10-23T02:20:40.442407+00:00,chat_response,user_cea7d5c3,sess_cb7b7db64d53,,,chat,sidebar,,"{""answer_len"": 112, ""latency_ms"": 0}"
2025-10-23T02:22:23.368009+00:00,session_start,user_cea7d5c3,sess_3969d1e4477b,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T04:42:08.440663+00:00,session_start,user_cea7d5c3,sess_37a61aa30d58,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T04:42:13.757250+00:00,chat_question,user_cea7d5c3,sess_37a61aa30d58,,,chat,sidebar,안녕,{}
2025-10-23T04:42:13.758254+00:00,chat_response,user_cea7d5c3,sess_37a61aa30d58,,,chat,sidebar,,"{""answer_len"": 205, ""latency_ms"": 1}"
2025-10-23T04:44:07.093474+00:00,session_start,user_cea7d5c3,sess_0c8229dd9083,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T04:44:09.483675+00:00,chat_question,user_cea7d5c3,sess_0c8229dd9083,,,chat,sidebar,안녕,{}
2025-10-23T04:44:10.133230+00:00,chat_response,user_cea7d5c3,sess_0c8229dd9083,,,chat,sidebar,,"{""answer_len"": 120, ""latency_ms"": 649}"
2025-10-23T04:44:14.444308+00:00,chat_question,user_cea7d5c3,sess_0c8229dd9083,,,chat,sidebar,안녕,{}
2025-10-23T04:44:14.445310+00:00,chat_response,user_cea7d5c3,sess_0c8229dd9083,,,chat,sidebar,,"{""answer_len"": 120, ""latency_ms"": 0}"
2025-10-23T04:49:44.822380+00:00,session_start,user_cea7d5c3,sess_dbdb38745a98,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T04:49:48.037036+00:00,chat_question,user_cea7d5c3,sess_dbdb38745a98,,,chat,sidebar,안녕,{}
2025-10-23T04:49:48.037036+00:00,chat_response,user_cea7d5c3,sess_dbdb38745a98,,,chat,sidebar,,"{""answer_len"": 112, ""latency_ms"": 0}"
2025-10-23T04:51:19.788664+00:00,session_start,user_cea7d5c3,sess_a39c5ef6732d,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T04:51:22.097768+00:00,chat_question,user_cea7d5c3,sess_a39c5ef6732d,,,chat,sidebar,안녕,{}
2025-10-23T04:51:22.097768+00:00,chat_response,user_cea7d5c3,sess_a39c5ef6732d,,,chat,sidebar,,"{""answer_len"": 112, ""latency_ms"": 0}"
2025-10-23T04:55:01.866171+00:00,session_start,user_cea7d5c3,sess_269c080f9cbb,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T04:55:04.240053+00:00,chat_question,user_cea7d5c3,sess_269c080f9cbb,,,chat,sidebar,안녕,{}
2025-10-23T04:55:04.240566+00:00,chat_response,user_cea7d5c3,sess_269c080f9cbb,,,chat,sidebar,,"{""answer_len"": 125, ""latency_ms"": 5}"
2025-10-23T04:58:55.667612+00:00,session_start,user_cea7d5c3,sess_f3926fce8647,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T04:59:03.165604+00:00,chat_question,user_cea7d5c3,sess_f3926fce8647,,,chat,sidebar,안녕,{}
2025-10-23T04:59:03.166609+00:00,chat_response,user_cea7d5c3,sess_f3926fce8647,,,chat,sidebar,,"{""answer_len"": 125, ""latency_ms"": 2}"
2025-10-23T04:59:23.622742+00:00,session_start,user_cea7d5c3,sess_c3c8dd60a67e,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T04:59:33.491527+00:00,session_start,user_cea7d5c3,sess_971a816f8f30,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T05:00:03.403301+00:00,session_start,user_cea7d5c3,sess_55add0a3a281,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T05:03:30.219339+00:00,session_start,user_cea7d5c3,sess_e1ba6a2c8ccd,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-23T05:03:35.567119+00:00,chat_question,user_cea7d5c3,sess_e1ba6a2c8ccd,,,chat,sidebar,안녕,{}
2025-10-23T05:03:41.465265+00:00,chat_response,user_cea7d5c3,sess_e1ba6a2c8ccd,,,chat,sidebar,,"{""answer_len"": 222, ""latency_ms"": 5894}"
2025-10-23T06:00:49.541839+00:00,session_start,user_cea7d5c3,sess_f488dc352bb6,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-24T00:49:46.028487+00:00,session_start,user_cea7d5c3,sess_f6fca328e8b6,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-24T00:50:47.676776+00:00,news_click,user_cea7d5c3,sess_f6fca328e8b6,1,,list,home,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
